Text,Class,ID
This is my go to! I remember when it first opened thinking this place will never make it as its too far off the strip and felt that there was not enough parking  Now these are the two qualities I enjoy the most  The casino atmosphere is top notch and of course if you like the hard rock you have to love the music that comes with it  Thank you for the guys at Track Results for making it possible,positive,5287357
I love Pizza!!Tonys has a great lunch special  A slice of pizza with a side salad or garlic knots and a drink for like $6 50 The pizza is great! I have been just for a slice and also for a pie with the Fam! My dad used to get the sausage and peppers and really liked it  The salad is good with the mozzarella on top of it and the Italian dressing Its perfect for a quick bite or to pick up  I do suggest if you dine in and want a pie  to order everything beforehand and then get there and enjoy it without the wait!,positive,2384190
Ordered the carry out pizza special last night and it was made fresh  hot  and delicious  It was not greasy and I thought it was perfect!,positive,4115242
I made the mistake of selecting this place to meet up with my family who were visiting from Florida   Waited at bar for 20 minutes before be able to order a drink even though there were only 3 other people at the bar  Once the bartender did decide to wait on me  he was very short What will you have? and proceeded to give me a a receipt for the amount due before I could order 6 more drinks for the rest of our party??? We eventually left that bar after no one returned to our group sitting at the bar for the following 25 minutes  We then moved onto the restaurant where we waited for 45 minutes for our entrees to arrive  Food was pretty good Moved onto gaming area where approximately 1 out of 5 games were not operating properly  This place has really gone down hill in the past 34 years  We will NOT be going back!,negative,2474304
Sunday afternoon   World cup soccer   Packed bar   And    one bartender/waiter Four of us sat down and waited for some menus   and waited   and waited    and waited    and   yep  you guessed it   waited   20 minutes went by  and we dont even have menus yet The couple sitting across from us  looked very angry as they motioned for attention but was constantly ignored Get some staffing to run your business right  fools ,negative,4640376
Best  Drunchies  Ever  Came here after a great night at XS  love how its located right next to Wynn!The lines do get pretty long  i mean  cheap delicious food after a night of dancing is a must!All their tacos are great! esp  carne asada!! Juicy and tender  I love how they cook it right then and there so you know its fresh! You can also ask for grilled veggies! Dont forget to ask for their hot sauces when youre ordering because they dont have a hot sauce bar  Their sopas are also superrr good  Would really recommend it!BTW  there are different lines for different kinds of meat  and dishes so make sure to stand in the right line!,positive,559232
Grew up down the street from the original location in Delaware and always enjoy finding one when I travel for work  Not nearly as good as the one back home but still a million times better then Subway or Firehouse  etc ,positive,1612115
Smells awesome!!!!Got some home made tamalies that were pretty good with the way I prepared them and kinda wish I got some more!I also picked up some steak pastrami and nibbled on that for a week too  it did seem a little dry and I tried to cook with it but only seemed to get drier but I am not a cold cuts kind of guy so maybe not take my word for it   Go and grab something yourself and be the judgeCheers!!!!,neutral,4469211
After going to the other Pomegranate Cafe in Ahwatukee  I had very high expectations for this location  Unfortunately I will less than impressed with my first time here  I had ordered one of the wraps which I have had before at the other location  and when I got it I noticed it was missing a ton of the ingredients that were listed in the menu  It didnt even have the ranch dressing that it was supposed to come with  For paying $14 for a wrap  I would expect a little bit more  Our service was pretty slow so I decided to just eat my meal and not say anything  I think in the future I will make the drive to the Ahwatukee location where ive never had a bad experience/meal ,negative,189895
Best mini golf in east GTA  Well maintained  friendly staff  would recommend  Hopefully someone opens up another mini golf further east (ie  Oshawa/Bowmanville  etc ) as the population continues to grow ,positive,537470
Living in Sun City  EL BURRITO  is right on our corner  Been eating here since they opened on Del Webb many moons ago     Food is great  so is the service     Margaritas are perfect     And for the quality & portions of the dishes  the prices are just right     in fact  my father had an enchilada dish  that was the same price as the fast food of  Robertos     and some dishes   like  chimichangas are even CHEAPER than Robertos     go figure   ,positive,3441930
You know Downtown has changed a lot and with it the old Golden Nugget has been able to keep up pace with the newer branded hotels  You can get class here even when in the trash of downtown and for cheap too!,positive,6524866
Spectacular BYOB  dont miss it!Superb French / Mediterranean inspired delicious food that is a adventurous  approachable and good value   The place couldnt be cozier and service is always stellar   Weve been to Zinho probably 15 times and the experience is consistent  the staff is welcoming  the food is top notch  Call ahead because there can be a wait and the place is small and intimate and diners enjoy European style eating that is not rushed  so plan ahead   Dont forget your favorite bottle (or bottles) of wine and be sure to share a glass with your server ,positive,4563262
I had a wonderful experience at this establishment!! Dan the Man was wonderful and a true gem!! I will definitely be back for another mani and pedicure!!!,positive,2122656
My boyfriend  his brother  and I all went to Buffalo Wild Wings  It was Thursday and when the bill came we had questions  We flagged down the server and asked him and he apparently asked his manager to speak with us  I have no issue with that normally  but when a strident woman walks up and begins yelling at us it tends to annoy me  I tried to stay out of the conversation until she yelled at me  I know not to let my anger get in the way  so once everything worked out I asked the server for her name  The second she heard we had asked she came back over  She sounded pissed and told us there was no issue and it was a misunderstanding but that if our server was wrong she would have backed us up  All in all  the food was good  but the manager  Starr  was unpleasant  combative  and rude ,negative,3667183
I love this place free ice cold beer  Holly was my stylist shes fairly new at this location was awesome and paid great attention to detail and spend a lot of time doing a excellent job  I live in Fort Mill and come here to get my haircut thats how much I enjoyed this place and appreciate Hollys work ,positive,2435228
I tend to only eat certain items when I do Korean BBQ & really stay away from Kimchi      Let me just say     The Kimchi was so great I ate 2 servings  The beef bulgogi is off the chain & I couldnt be happier! My husband and I stopped here on Christmas Eve (today) to fuel up before battling the crazy crowds and its awesome! The staff is so sweet & check up on you at the perfect at times  They make sure you know how to perfectly cook the meats and have great suggestions when you arent quite sure what you want  They do not disappoint! I will be bringing back friends and family! We will be back!,positive,2620888
Bought 2 cupcakes here  the difference between this cupcake place and others is that you get to customize your own cupcake  1  Pick your cupcake 2  Choose your filling and/ or frosting 3  Choose a topper   I tried the classic red velvet and the frosting was really sweet  the cake itself wasnt great either  not bad  just not great   A  little on the dry side  I do like the variety of the cakes and fillings they have though  * there was a sign that said  after 7 pm cupcakes are ( dont remember if it was 50% off or buy one get one) maybe Ill just have to try another type of cake/frosting there ,negative,583765
Old Mexico has easily become a favorite restaurant! The enchiladas are absolutely amazing! The first day I went here was on Cinco De Mayo and the place was decorated so nice  I had to get a  frozen margarita  I got a small one  and it was huge  the biggest is just extremely huge lol  My margarita was very good  a little too strong  but Im a wimp when it comes to alcohol  The portions are very large! Ive gone their twice now and their is always someone to greet you nicely and seat you quickly  The service is great and prompt  everyone that works their is super friendly  Im surprised by some reviews   I think Old Mexico restaurant is awesome and a actual nice add to the crappy century three mall!,positive,4029781
Came here for lunch on Thursday  It wasnt crowded at all and service was attentive  They also have a lunch special for their meats  1 plate for 8 99 and 2 plates for 12 99  Overall  good Korean food in Vegas and would recommend if youre craving Korean food!,positive,655103
Great place!!! Loved the workers  great energy!!! Food was great and not expensive  Definately a chill place for a meal ,positive,1551712
Yummy  yummy chicken and perch  We got there before the lunchtime rush  The food is worth any wait you might have  Park in the back  dont fool with trying to find street to parking ,positive,6548124
I cant say enough good things about this guy  Gil is amazing  Hes personable  hes knowledgeable  and hes very good at what he does  I can easily recommend him to anyone without hesitation and would consider him my auto mechanic and not just a place I took my car once    Yay for reliable  honest people!,positive,1967316
I had Renee from Snowflake when they were getting slammed for the back to school $8 sale  She was so personable and did my hair exactly how I wanted even with my very vague requests  I wish she was a regular stylist here because Id be a repeat customer  If nothing else  she represented the Great Clips brand to the nines ,positive,2103499
Great customer service  Fish was not that good and not a lot of variety  The food was just basic ,neutral,1450041
Great relaxed vibe and a swanky house as the setting makes this Beer joint an must hit if youre in the area  They have an enormous selection of beers and often have top notch entertainment provided by local bands  which make for a fun and enjoyably evening for just about any crowd or personality type ,positive,1560669
Wow!  If you are moving in the Phonenix area this is absolutely the company to use  They have moved for me twice now and they are fabulous  Customer service amazing plus they have good manners!!  Thanks to Ray and Adrian for making the move so much easier!Sherrie Walt,positive,6464545
Sara Bernstein from storybook Entertainment has always exceeded my expectations with every party Ive had them do for me  Sara and her crew are truly amazing and make your parties magical for you!! My entire family and all my guests were always in awe at how above and beyond things turn out I couldnt be any happier with what they have done for me  From beginning to end they were the total package everything was perfect!! They covered it all   I cant say enough at how amazing Sara and her crew are !! They are truly everything and more I would want for my party needs!! She can do anything you ask for  There are so many characters and themes you can ask for and Sara can do it  She thinks of it all you never have to worry and can completely trust her with all your needs!! I highly recommend Sara and her crew for any of your party needs!! You will never be disappointed  you will love them!!,positive,4377782
We took the kids to Las Vegas and stayed at MGM  The Rainforest Cafe was a place my kids liked to hang out  We had breakfast there and we were NOT impressed  The service wasnt great and the food was soso  However  the atmosphere was great and kept the kids entertained ,negative,6116882
After driving by multiple times I finally walked in today to check it out  Im glad I did  the place inside is very nice  open and clean  With a lot of seating inside and outside (even though it is 110 outside right now) Anyway the staff was very helpful in recommending me drinks and asking me questions like: What my favorite soda was and what fruits I liked becuase a majority of the drinks have some fruit aspect to it  I got the Smooth Criminal as a recommendation by the cashier  It had Dr  Pepper  Vanilla  Coconut  and Half and Half  The half and half seemed like a strange add on to the drink but it tasted really good and Im glad I got it  Matter of fact abiut 4 hours after that  I went back and got another 24oz  Highly recommended this place to anyone who is on the lookout for a good refreshing drink ,positive,187001
Went there for lunch and was very disappointed  I had French onion soup which was an extremely thick broth with  rye bread  it was also very spicy and the bread was hard  I also ordered an appetizer of kielbasi corn dogs and those are also un edible and extremely spicy ,negative,6264675
Excellent lunch buffet   Amazing food   Great service   Clean   Reasonably priced  Kids had never tried Indian food until today and LOVED it   Will definitely be back!,positive,1045838
This place charged my credit card three times  then came back and lied to me saying theyre system was down so I paid cash only to find out they charged me and didnt tell me later  Then the general manager David says he would give me $50 credit the next day  The next day he changes his mind and acts like a complete a$$hole to me  0/5 stars ,negative,5391094
Great food in Caesars Palace 24 hrs a day   Breakfast is excellent  Go hungry because portions are big!  We always have good service  food comes quickly  Ask to be in Josues sectionhe is an exceptional friendly server  by far the standout here  His section is often the most crowded!!,positive,1475786
came here for lunch with the bf and we ordered the following:tuna nachos 4 25 stars spicy chicken sweet potato hash 4 25 starssome seabass dish 3 75 starsyou are def guaranteed to have a great meal here!get the spicy chicken sweet potato hash its totally unique and gives you a slight orgasm in your mouth (I like to say orgasm in mouth often to describe a handful of really amazing dishes that I encounter and this is one of them),positive,6564826
Had lunch here today  first time Ive been here in a while  I had the cheese enchiladas  and chips and salsa  The hot salsa was actually pretty good  but its more of a medium than hot  The chips are good  not too salty  which is nice  I enjoyed my enchiladas  but it really is hard to screw up cheese enchiladas  I enjoyed the sauce as well  My coworkers were pretty satisfied with their dishes as well  I was a bad vegetarian though  as I didnt ask what was in the beans or rice   the beans definitely didnt taste like they were cooked in lard  but I will ask next time I am there  The portion sizes were big  I didnt finish mine  and the price wasnt too bad   lunch for under $10  It wasnt too crowded at lunch time  but the place is also pretty big ,neutral,1655172
Great show! I like how active they were with the audience  Recommended if you would like to see something different with a rock and roll twist!,positive,1586913
Please stop changing things    every 3 months there are new changes   Happy hour is only outside and at the bar now  no cup of wonton soup now only you xan buy a bowl   Love the new lunch menu but hate the constant changes   ,neutral,4218331
Well  it seems to be a trend with this place   we came here with a client for dinner one night and we were the only table seated in the restaurant  always a bad sign!  The service was polished and professional  the atmosphere was nice and the food was good   Someone in my party ordered the watermelon salad and they loved it   All of us ordered the grilled swordfish for our entree and it was quite tasty and just the right portion   Overall the meal was of high quality  but I am concerned for the longevity of this place with so few patrons ,positive,6206970
I have been taking my cars here for years and I have always been given the best customer service along with honest assessments of what is wrong with my cars  The prices are better than what you will pay at any other shop and they do a good job every time  Steve and Kevin are personable and cool guys  I even sent my Son over there with what I thought were bad wheel bearings on both sides up front  He came back and said it was only one side and Superior fixed his car  He came back with it saying it is like night and day from how it was riding before and making all that noise  They easily could have told him it was both sides  Thats what I am talking about  They are honest brokers  Go check them out  You wont be disappointed  Thanks Guys! Keep up the good work!,positive,2222555
This place is ok  a tad pricey but close and I never have to wait  Recently  though  there has been a very high number of broken machines  Additionally  though they say they will refund you if a machine doesnt work after putting money in  I never received my refund  Granted  it was only $0 75  but its the principle of the thing ,neutral,5494303
Really  really  really good food  but bring your arms  legs  and first born children because you will pay for it  bigtime  as you will if you go top end  hot chef anywhere in Las Vegas  My bias  Ive taken a star off just for that   We did the prix fix with wine which was decent value for the quality   The lobster pot pie  their specialty  was particularly noteworthy   Service was first rate  outstanding ,positive,4321717
This place has the best blend of healthy and tasty meals  They have a wide variety of chicken flavours and the choice of healthy bases (kale  romaine salads) or more Starchy portions (rice and potatoes)  Their lunch special is the best bang for buck  Huge portions for under 10 dollars  Cant go wrong with that! :),positive,5413851
Found this little gem on yelp and I could not have been more pleased   This pizza has the most amazing crust  its thin  crisp and delicious  The owner Vinny is a very nice and hardworking guy  Will definitely be returning ,positive,1270795
Stayed here for a night traveling for work  The room was fantastic  Large desk  nice sofa  comfortable bed  full size fridge w/ an ice maker  stovetop  dishes  even has a dishwasher  The finishings are really nice  room even has a ceiling fan  Great outdoor space  Basketball  grills  gas fireplace and plenty of outdoor seating   Dont miss the complimentary beer & wine happy hour! Ill definitely be staying here again next time Im in Pittsburgh ,positive,4584456
I went with a friend for moctels and it was a great experience! The bartender Mo makes the best coctels in town  He recommended us to try pina colada and it was delicious   The resaturant has a good ambience  enough parking space  big bar area and is very clean  The food is also outstanding  we had chicken wings and calamari  I fo you ever go ask for Mo at the bar  Highly recommended!!!!,positive,2835404
So happy to see a place that actually makes their own juices  The staff was super helpful and the juices were amazing love the orange apple ginger soooooooo refreshing,positive,4504867
Sadly  this lovely location is closing  I believe the last day open is March 15  Always EXCELLENT service  Ill be sad to see them go ,positive,4370770
Stopped in to use the ATM  since I dont get charged ;)Typical 711  Has all of your convenience store needs & of course  the always delicious Slurpees ,neutral,4619472
This place is ok  I just came back from a four day trip  You must stay at tower two  It was ok  Not bad at all  But in no way shape or form can you compare this hotel to the nicer hotels  All in all it was ok ,positive,5494503
We brought my step daughters dog in for a checkup   The Doctor was very professional  and accurately assessed that her dog was likely suffering from cancer  but took some samples for testing   The samples ended up being positive and we had to put our buddy down   The staff and doctor were incredibly sensitive and compassionate   The cremation services were very convenient and the sympathy card was enough to bring tears to the eyes of all   We sincerely appreciate their handling of a difficult moment in our life and will be using them for our other animals when needed Thank you Durango!,positive,5958849
GREAT SALES & SERVICE!Just completed a sale of a 3 series for my wife  Our sales people Tyson  Chase & Alex were AWESOME! The level of service they delivered was ABOVE and BEYOND  We have had such great service in the past from Daren in the service department  we decided to return and purchase a new car  We were lucky to work with such a great sales team  Our work schedule made it hard to come to the dealership  so Chase and Alex personally delivered the car to our home  they really rolled out the red carpet for us  A few days later we got a visit from a BMW Genius that showed us all cool bells and whistles  he was FANTASTIC!  Highly recommend BMW North Scottsdale  they truly lived up to the promise and guarantee of HIGH LEVEL & QUALITY SERVICE!!,positive,1313659
Very good buffet but expected more given the hype   Maybe because we were there during lunch  Will try dinner next time ,neutral,5824862
Last day of Vegas and about to head home we needed something filling to last us the 4 hour drive home  While packing up in our room (At The Mirage) we saw a clip for their new Burger joint  The SPIKED SHAKES hooked us! We headed downstairs and finally located BLT in the far back corner of the casino  We sat right away and the wait staff assisted right away  Our waiter was nice  but seemed new you know how that goes! :PWe ordered 2 burgers  2 SPIKED shakes (I recommend the Night Rider if you like chocolate!) and since they didnt have chili cheese fries ON THE MENU  we ordered a side of chili and criss cut fries  BEST CHILI EVER! seriously  I recommend splitting a burger though cause they are VERY large! Filled us up all the way home to LA! :),positive,3396040
Amazing brunch! Definitely a must when visiting Toronto  Everything we ordered was delicious and filling  I would recommend the standard breakfast with sausage  burger  and donuts ,positive,267949
its a quick care center that gets you in a out just depends on what time you get there if there will be a wait of not   ,neutral,6604150
Their garlic naans are really good  They have to improve on their biryanis and goat curries ,positive,5059845
I am writing this review as I have been waiting 60min for our groups sandwiches to be made  There is only one employee working and I feel very badly for her  but she has made about 10 smoothies before starting on our order  She also has not apologized to us for the order taking so long  Its a bummer because I love this place but I will not be coming back to this location ,negative,1888228
We had a weeknight dinner at the Verandah  and it was one of our best eating experiences in Vegas for value  food quality and service  We were there for a full 6 days  and if we go back  this is one of the only places we will bother to visit again  The inside of the restaurant was fairly busy  but the patio was almost empty (February)  Heaters made the patio very comfortable  and it was so nice and quiet  which is hard to find in Vegas  The service was fast and extremely friendly with good advice and knowledge of the foods and wines  I picked a wine to have by the glass  and when I was only semi pleased with it  the waiter was quick to recommend another and was spot on in his advice from my description of what I like  The food was so fresh and well prepared  it was almost startling  Even their iced tea is really good  and made with ice tea ice cubes to avoid dilution! Talk about detail!,positive,6014807
Im from NY  Im a snob  when it comes to bagels  cheesecake and pizza  Thats not to say all pizza  cheesecake and bagels are good in NY  There are places there that suck   Im still looking for cheesecake  Brueggers is excellent  Ask which ones are just out of the oven and get them whatever kind they are  O I found good pizza a Famous Rays but ONLY the one on 7th and whatever Frank Lloyd Wright becomes on the west side,positive,2914722
Took my truck in for service  It broke down 5 minutes after picking it up leaving me on the side of the freeway!  Had it towed back to their shop and the owner refused to reimburse me my tow fees! Will no longer do business with Strictly Diesel!,negative,5702887
This place rocks!! My best buddy used to live 3 doors down and no matter how much trouvbe we seemed to cause we were aways let back in!! lol! She actually had a shelf of glasses that we borrowed from the bar to be returned  Fantastic patio!!,positive,5535990
Regarding Flagstaff Uber  last night Oct 30th 2015 in Flagstaff AZ  Population around 85k  UBER HAD A 5 6% Surcharge and it wasnt a busy night  What kind of BS is that  Maybe in NYC or Chicago   Flagstaff UBER you are screwing people   The cab I took was $9 from Down Town Flag to my house  THE UBER RIDE WOULD HAVE COST ME ALMOST $50  Im looking forward to seeing the surcharge for Halloween night tonight ,negative,4332018
The BEST blueberry pancakes!!!! Tons of blueberries in them and they are huge!!! They arent of the uberbuttery variety that can leave you feeling like you just ate a brick of food  My husband has tried the pumpkin panckes in the fall which are amazing and the banana nut ones are equally yummy  You HAVE to get the coffee cake  its the best thing youll ever eat  May be line on weekends after 9 but it goes quick  We go every weekend  weve tried other places but this remains the best  The pancakes are light and fluffy   not like the butter overloaded ones at blueberry hill  etc  The owner Curtis is an awesome guy  hes bought our breakfast numerous times since were there 12 times a week  They take care of their regulars  Laura is the best waitress ever!!! They bust there butst there  My dad devoured the tropical French toast and my husband gets the garden patch omelettte  You wont go wrong with this place   we have yet to find anything better!!!!,positive,4725216
I was having issues with my water after another company came and fixed a leak with my water tank  The buddy from the other company crossed the lines so basically my hot water was cold  and cold water hot    if that makes sense   it basically messed everything up  The guys name was Wyatt and he was so nice and actually on time    a rare thing apparently because the other company was late on two occasions   I give them a good rating because of the friendliness and for being on time and for fixing the issue! Wyatt is the best! :),positive,2723157
My friend and I ate have eaten here a few times  and weve always had excellent service  I love that they offer Kale Salads now and that alone deserves four stars   Ive never tried any of their pizzas  so I cant comment on the quality or the pizza tastes  Ive always gravitated towards the salad selection  I dont care what other yelpers say! 4 Stars in my opinion ,positive,3729170
Ping is awesome!! No hassle  no wasted time! My first time having to evict my tenant  Dont bother looking any further than Perfect Evictions  Ping educated me and most of all was patient with explaining the step by step procedure  I hope I never have to go thru this again but if the occasion arises  Perfect Eviction it is! Perfect from start to finish ,positive,4200184
Great quick service  Very professional and price is definitely competitive  Went on a Saturday morning and though they would make me wait a few hours but they worked quickly  Topped off all my fluids ,positive,1560193
I am french and going to Rosalie i feel like at home!!!The owner is passionate about his work and bring a good ambiance in this cute french bakery  the service is excellent and as a french we have a lot of expectations in a good customer service!!I support this clean bakery!!!,positive,1857263
I honestly dont know where I would be without Toan! His guidance offers potentially the perfect blend of pragmatism and emotional intelligence/awareness  I really value his gentle yet very direct approach to talking with people  and his attention to detail and sensitivity is unparalleled  Always kind  always sincere  always there for me  simply the best! Toan has helped me work through some really trying times in my life  whether it be related to something current  or something bubbling up from the past  he always guides me to a resolution that makes sense for me at that given moment  usually in addition to a longerterm goal resolution to work towards  He doesnt just guide you in the right direction  he holds you accountable too!  Every session Ive had has always left me feeling more capable and better equipped to deal with whatever is in front of me ,positive,2311476
Great owners   Average burgers :(Perhaps the burgers are amazing for some   but when you have tried many places around the valley Lucky Boys doesnt cut it ,negative,1523776
Came in to get my regular frapp caramel with one shot the ladies were a little frustrated or irritated I felt a very odd vibe like I wasnt welcome anyways  customer  service was alright for me felt bad for the little boy who was impatiently excited to get his drink too and they keep telling him to go away nicely till they literally said the stand needs to be clear and waved their hand around like a brushing motion to get him away from there area  Poor thing! Sorry Im not coming back    poor service  Im only rating 2 cause my drink was good but the after taste of my drink tastes like attitude was made with it lol ,neutral,687532
It was awesome and unexpected that the owner Josh gave my husband and I a letter and a couple of free meals to come back and give it another shot  He said it was just an off day and in no way a representation of the restaurant  Ive been back several times and havent seen a fly since  The food has been excellent as usual and we highly recommend Miracle Mile to everyone!,positive,3226853
Love the variety and hardtofind items that are available  I went for cheese  Lots of European selections at lower prices than the norm  Saw figs and hard European breads  Cauliflower pizza dough was in the freezer  Brands are not your supermarket ones  Had a good time checking out everything  Definitely worth a visit and to treat yourself ,positive,3499931
Ive been getting brazillians here for awhile now and they are great and do a good clean job!,positive,2983499
Great little restaurant in the heart of the South Point Hotel & Casino  Oysters a nice and fresh    The lobster grilled cheese is awesome  Crab cakes are a little below par but the New England Clam Chowder is fantastic  Not bad for Vegas seafood,positive,1508762
A wonderful breakfast spot  Healthy choices yes but plenty of less healthy ones if that is what you want  I had the avacado toast with basted eggs and my wife had the bacon and onion hash  We split a kale juice which was surprisingly delicious  Great strong fresh coffee and friendly service ,positive,129687
I have been here quite a few times now and every visit has been better than the last  This restaurant and their phenomenal service is mere definition of excellence! It is now our official special occasions place  My husband and I cant wait to bring our families here to experience their world class service  Damas  you have my stolen my heart!,positive,2213837
Best thai food on the west side  The curries are awesome  Friendly service too ,positive,556227
Came in for dinner with some friends  Service was fast and was on point with drink refills and reorders  Only down side to the meal when my fajita came to me it was sizzling and looked great but I kept smelling something burning that wasnt food  And then I saw it smoke bellowing out of the cloth handle for my fajita plate  IT WAS ON FIRE! I quickly took it off poured my water in it and handed it to them  Not a bad experience just different,positive,683095
An excellent choice for Thai and other Asian fusion cuisine  Also BYOB is a bonus with NO corking fee for now ,positive,308027
All you can eat sushi for under $25   Includes over 50 options from deepfried  to tempura  to fresh fish   They have basic crab rolls and also fancier  more exciting rolls which are filling and look great   Cuts  rolls  and basic maki   Gyoza  dessert  salads   all included   Sushi Way is your typical AYCE sushi spot that has many options but most are more or less the same ingredients   Tasty and for the price well worth it if youre looking to stuff yourself on rice and fish   I usually prefer to spend more on higher quality sushi  but Sushi Way is very solid nonetheless   They also offer a la carte if you just want some sushi east of the strip at a cheaper price   And  dont forget the awesome names of some of the rolls   Might be worth a stop in here just for the fantastic comedic menu creations ,positive,232681
Enjoyed lunch here but unfortunately the pizza was left in the oven too long and edges were burnt !  They served it anyway like that!!,neutral,986525
We loved this place  Thought it looked a bit chainy from the outside  and I realize that it is a growing regional chain  but the food and service felt more like a local place than an Olive Garden or something like that  Fantastic service (server who wasnt afraid to offer definitive recommendations when we asked about various items) who was also good with our kid  We split a couple of entrees (not pizza) that were both great  too  was just going to look up the menu to remind myself what it was  but the website appears to be down   Decor was a bit kitschy  but gave you something to do while waiting for food  is that a penguin up there? kinds of conversations  especially helpful with a kid whos hungry!,positive,6075194
Excellent service at both drop off and pick up! 7 garments  one day service  ll look great! Thank you!,positive,1053230
5 stars awarded for the quality of customer service  today!  James and Adam are diamonds in the tire  rough    Thanks for making our experience  smooth  easy and affordable    Tires may bring a customer to the tire shop   yet the people are what makes you return    Pats on back to Discount and their team for having a dynamic  well run  honest tire shop  The team is what makes us loyal and referring customers   This review was earned  NOT requested!!!!   Go Discount Powe/60 team!!!!    Ronda,positive,60594
Great food  price is just right $9 for all noodles!!! The sauce is what makes their dishes so yummy  I had the see yaw noodles which I will definitely get again!! The only hassle is that they only accept cash here ,positive,1487331
Im very impressed by this place  before I give it 5 stars though  I would like to try more of their food   I had the Beghan Aloo  its potatoes and eggplant with spices   It was incredibly good  but also drenched in ghee (not necessarily a bad thing)   I also had the rasmalai  which if youve read any of my reviews of indian restaurants  is my favorite dessert EVER   It was only okay here  not quite the best ive ever had   The service was really good   Its a pretty bare bones restaurant  with a little bit of ambiance  but I dont really care much for that  the one sample dish I had here was pretty darn good  I will definitely be coming back to check out the lunch buffet ,positive,2961439
